group	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
nitrous_oxide_denitrification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denitrification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chitinolysis	16	22	24	23	34	19	12	14	25	21	23	23	13	14	16	15	19	8
knallgas_bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_hydrogen_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrogen_fixation	211	260	225	187	209	252	298	199	164	177	255	242	173	162	209	224	196	229
nitrate_ammonification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrite_ammonification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrite_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellulolysis	18	0	0	10	5	2	22	5	8	10	12	11	4	2	1	6	2	5
xylanolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_sulfide_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_sulfur_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_thiosulfate_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_oxidation_of_sulfur_compounds	22	9	66	13	51	33	12	34	9	17	30	12	29	18	16	31	53	29
manganese_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
manganese_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ligninolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fermentation	7	2	3	3	2	5	17	7	8	8	7	20	16	2	10	3	7	13
aerobic_chemoheterotrophy	1867	2110	2897	2152	2299	2107	1933	2834	2879	2553	2233	2241	2009	1878	1981	2265	2463	2319
invertebrate_parasites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_septicemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_pneumonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_nosocomia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_meningitis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_gastroenteritis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_diarrhea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_all	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fish_parasites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_gut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_associated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mammal_gut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
animal_parasites_or_symbionts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
plant_pathogen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oil_bioremediation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aromatic_hydrocarbon_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aromatic_compound_degradation	169	231	265	196	188	234	154	274	178	140	236	180	167	145	218	184	194	186
aliphatic_non_methane_hydrocarbon_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrocarbon_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_iron_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iron_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrate_respiration	4	1	5	1	3	4	4	6	0	33	5	8	1	1	3	6	2	5
nitrate_reduction	35	35	61	55	61	58	43	38	30	69	35	58	31	35	28	47	50	50
nitrogen_respiration	4	1	5	1	3	4	4	6	0	33	5	8	1	1	3	6	2	5
fumarate_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
intracellular_parasites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chlorate_reducers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
predatory_or_exoparasitic	11	8	5	17	20	9	17	11	12	9	8	12	11	16	5	12	6	13
chloroplasts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nonphotosynthetic_cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photosynthetic_cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy_H2_oxidizing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy_S_oxidizing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy_Fe_oxidizing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oxygenic_photoautotrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photoautotrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aerobic_anoxygenic_phototrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photoheterotrophy	6	2	9	0	0	0	0	0	0	0	1	1	2	2	0	0	1	0
phototrophy	6	2	9	0	0	0	0	0	0	0	1	1	2	2	0	0	1	0
plastic_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ureolysis	6	6	9	7	10	8	12	5	5	8	9	5	5	8	5	5	15	8
reductive_acetogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chemoheterotrophy	1925	2176	2948	2210	2377	2184	1997	2876	2953	2615	2304	2311	2058	1925	2050	2317	2515	2364
