ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,mean,Label
ASV_1404,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_incertae_sedis,Unassigned,Rhizomicrobium,Rhizomicrobium_palustre,0.000229829560839385,ASV_1404
ASV_187,Bacteria,Verrucomicrobia,Subdivision3,Unassigned,Unassigned,Subdivision3_genera_incertae_sedis,Unassigned,0.000529052875860588,ASV_187
ASV_1182,Bacteria,Proteobacteria,Betaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,0.00016972266829359,ASV_1182
ASV_805,Bacteria,Chloroflexi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.000229901981342069,ASV_805
ASV_2219,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium_pusense,0.000273670491083358,ASV_2219
ASV_890,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Unassigned,Ohtaekwangia,Ohtaekwangia_koreensis,0.000216360631040204,ASV_890
ASV_7711,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.000168368697024142,ASV_7711
ASV_70,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas_aurantiaca,0.00184663579463257,ASV_70
ASV_666,Bacteria,Acidobacteria,Acidobacteria_Gp6,Unassigned,Unassigned,Gp6,Unassigned,0.000542186868437158,ASV_666
ASV_555,Bacteria,Armatimonadetes,Unassigned,Unassigned,Unassigned,Armatimonadetes_gp5,Unassigned,0.000993394328466689,ASV_555
ASV_372,Bacteria,Acidobacteria,Acidobacteria_Gp1,Unassigned,Unassigned,Gp1,Unassigned,0.000335843912526564,ASV_372
ASV_713,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas_aurantiaca,0.000236140578911745,ASV_713
ASV_330,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Unassigned,Unassigned,0.000213716364775655,ASV_330
ASV_669,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Unassigned,Unassigned,0.000174981800493512,ASV_669
ASV_99,Bacteria,Proteobacteria,Betaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,0.000637587797687,ASV_99
ASV_1138,Bacteria,Proteobacteria,Gammaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,0.000419266357604491,ASV_1138
ASV_3037,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.000328531838965713,ASV_3037
ASV_1711,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium_sediminicola,0.000168059680619453,ASV_1711
ASV_142,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,Arenimonas_daechungensis,0.000895080978963989,ASV_142
ASV_286,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Cystobacter,Unassigned,0.00051141908243238,ASV_286
ASV_2113,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas_aurantiaca,0.000228774048800144,ASV_2113
ASV_1783,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.000174705341233474,ASV_1783
ASV_276,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Unassigned,0.00229514224421533,ASV_276
ASV_1745,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.000462865573172169,ASV_1745
ASV_865,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas_aurantiaca,0.000440688732501338,ASV_865
ASV_33,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unassigned,Unassigned,Unassigned,0.00239347773825794,ASV_33
ASV_65,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas_aurantiaca,0.00158052829286512,ASV_65
ASV_866,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas_aurantiaca,0.00139174427183133,ASV_866
ASV_299,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium_lentum,0.0013813128640404,ASV_299
ASV_6,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unassigned,Unassigned,0.00119294073459362,ASV_6
ASV_221,Bacteria,Verrucomicrobia,Subdivision3,Unassigned,Unassigned,Subdivision3_genera_incertae_sedis,Unassigned,0.000942000888484502,ASV_221
ASV_223,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.00093171039525742,ASV_223
ASV_504,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Terrimonas,Terrimonas_rubra,0.000890211369853678,ASV_504
